"ssid","sslon","sslat","esid","eslon","eslat","ssaddress","esaddress","numroute","routeid","lat","lon"
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7747,-73.966
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77475,-73.96588
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7748,-73.96585
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7749,-73.9658
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77501,-73.96578
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77516,-73.96579
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7752,-73.96578
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77532,-73.96571
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77553,-73.96548
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7754,-73.96541
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77537,-73.96538
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77527,-73.96526
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77525,-73.9652
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7752,-73.96504
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77511,-73.96511
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77441,-73.96562
519,-73.977706,40.751873,492,-73.99093085,40.75019995,"Pershing Square North, New York, NY","W 33 St & 7 Ave, New York, NY",858,"6",40.75188,-73.97768
